subject,true,pred,prob,correct,n_train,n_finetune,n_eval
A01BB3_220304-144010__1463069,0,0,0.3422922194004059,1.0,10676,91,92
A01BB3_220309-140348__1467167,0,0,0.2161722481250763,1.0,10646,99,99
A01BB3_220323-133317__1476005,0,0,0.29942238330841064,1.0,10674,92,92
A01BB3_220401-123636__1482498,0,0,0.31662508845329285,1.0,10654,97,97
A01BB3_220406-161109__1487330,1,1,0.6775570511817932,1.0,11042,41,41
A01BB3_220519-150214__1517247,1,1,0.5813809037208557,1.0,11042,96,96
A01BB3_220602-141250__1526420,0,0,0.3219674229621887,1.0,10724,79,80
A01BB3_220605-170311__1529194,1,1,0.5367382168769836,1.0,11042,91,92
A01BB3_220901-164319__1581487,0,0,0.41707369685173035,1.0,10696,86,87
A01BB3_220910-133655__1585738,0,0,0.4307476878166199,1.0,10724,79,80
A01BB3_220917-133423__1589760,0,0,0.3914070725440979,1.0,10782,65,65
A01BB3_220921-141443__1593477,0,0,0.3870403468608856,1.0,10672,92,93
A01BB3_220930-143421__1599809,0,0,0.41992586851119995,1.0,11008,8,9
A01BB3_220930-175332__1599814,0,0,0.3804054856300354,1.0,10880,40,41
A01BB3_221012-153444__1609070,1,1,0.601890504360199,1.0,11042,70,71
A01BB3_221021-133252__1615760,0,0,0.3264876902103424,1.0,10764,69,70
A01BB3_221028-151812__1622546,0,0,0.35565510392189026,1.0,10858,46,46
A01BB3_221104-150448__1627936,1,1,0.598343551158905,1.0,11042,56,56
A01BB3_230123-163227__1669960,1,1,0.664587676525116,1.0,11042,51,52
A01BB3_230127-171629__1672337,0,0,0.4484122097492218,1.0,10866,44,44
A01BB3_230205-140827__1676909,0,0,0.32052820920944214,1.0,10858,46,46
A01F4C_230128-160508__1672354,1,1,0.5538143515586853,1.0,11042,92,92
A01F4C_230215-142807__1684264,0,0,0.34093353152275085,1.0,10692,87,88
A01FB9_220306-151030__1465010,0,0,0.3478500545024872,1.0,10734,77,77
A01FB9_220321-121902__1474424,0,0,0.2760588228702545,1.0,10686,89,89
A01FB9_220329-170454__1482522,1,1,0.6683933734893799,1.0,11042,101,101
A01FB9_220421-141116__1496787,0,0,0.24188537895679474,1.0,10676,91,92
A01FB9_220521-160743__1517951,1,1,0.5429251194000244,1.0,11042,90,90
A01FB9_220601-154626__1525872,1,1,0.5624952912330627,1.0,11042,57,57
A01FB9_220625-130210__1550289,0,0,0.3539067804813385,1.0,10678,91,91
A01FB9_220831-142947__1580323,1,1,0.5937207937240601,1.0,11042,95,95
A01FB9_220909-132302__1585732,1,1,0.701924741268158,1.0,11042,103,103
A01FB9_220914-132226__1589361,1,1,0.5985453128814697,1.0,11042,92,92
A01FB9_220920-130441__1592198,0,0,0.41938990354537964,1.0,10670,93,93
A01FB9_220929-124426__1599299,0,0,0.3308710753917694,1.0,10678,91,91
A01FB9_221021-145202__1615753,0,0,0.364397794008255,1.0,10688,88,89
A01FB9_221026-204807__1622559,0,0,0.35530927777290344,1.0,10670,93,93
A02160_220214-155820__1452541,1,1,0.6375936269760132,1.0,11042,92,92
A02160_220304-160223__1463075,0,0,0.3192148208618164,1.0,10670,93,93
A02160_220401-144336__1482490,1,1,0.5778785347938538,1.0,11042,93,93
A02160_220417-132958__1493794,0,0,0.3220582902431488,1.0,10670,93,93
A02160_220604-150630__1529202,1,1,0.6170727610588074,1.0,11042,97,97
A02160_220621-133442__1539693,0,0,0.3707932233810425,1.0,10672,92,93
A02160_220828-140146__1578416,0,0,0.2628839910030365,1.0,10668,93,94
A02160_220903-154115__1581548,1,1,0.6431597471237183,1.0,11042,91,91
A02160_220918-150156__1590569,0,0,0.33449992537498474,1.0,10686,89,89
A02160_220929-123711__1599803,0,0,0.2728814482688904,1.0,10678,91,91
A02160_221008-151631__1605412,0,0,0.31725531816482544,1.0,10672,92,93
A02160_221019-152024__1614258,1,1,0.588890016078949,1.0,11042,90,90
A02160_221103-141306__1627909,0,0,0.3201754689216614,1.0,10672,92,93
A02160_221206-180500__1649887,1,1,0.6669666171073914,1.0,11042,89,89
A02160_230120-143200__1668741,1,1,0.7005140781402588,1.0,11042,93,93
A02160_230129-163217__1672914,1,1,0.6583159565925598,1.0,11042,91,91
A02160_230227-150755__1689122,0,0,0.2695310115814209,1.0,10662,95,95
A02160_230907-150540__1783066,1,1,0.7928737998008728,1.0,11042,92,92
A02160_230929-153047__1791589,1,1,0.7956658601760864,1.0,11042,91,91
A02160_231017-114252__1799463,1,1,0.8770201206207275,1.0,11042,91,91
A02160_231024-150040__1803044,1,1,0.9101353883743286,1.0,11042,75,76
A02160_231029-130452__1804739,0,0,0.4882277548313141,1.0,10682,90,90
A02160_231102-165646__1806717,1,1,0.8347471356391907,1.0,11042,87,88
A02160_231107-153205__1808825,1,1,0.792350172996521,1.0,11042,68,68
A02160_231109-160804__1810544,1,1,0.7425959706306458,1.0,11042,88,89
A02160_231113-170244__1811655,1,1,0.8312498927116394,1.0,11042,80,80
